company_number,company_name,employees,turnover,balance_sheet,accounts_date
00061468,The Blackburn and Wincobank Conservative Club Limited,8.0,,297488.0,30 April 2
00252281,LAURENCE KINGSTON LIMITED,1.0,,376200.0,25 March 2
00092308,CABLE CHUTES II LIMITED,0.0,,1494.0,24 March 2
00399435,Alfred Willday & Son Limited,11.0,,451674.0,2025-10-31
00361308,ALBERT HARRISON & CO LIMITED,0.0,,304406.0,2025-09-30
00292195,Arundel Motors Limited,56.0,,3683915.0,2025-09-30
00007464,West Heaton Bowling Club Limited,,,-37816.0,2025-09-30
00301963,MONMOUTHSHIRE FARMING SUPPLIES LIMITED,0.0,,,2025-09-30
00232920,THE DORE & TOTLEY GOLF CLUB LIMITED,0.0,,1513145.0,2025-09-30
00233722,HART & CLOUGH LIMITED,0.0,,940204.0,2025-09-30
00364935,Dennis Berry Limited,2.0,,221072.0,2025-09-30
00360174,BROUGH HAVEN LIMITED,3.0,,255.0,2025-09-30
00005116,Reigate Stock Share And Estates Company Limited,0.0,,1824330.0,2025-09-30
00170454,THE ERA FOUNDATION LIMITED,0.0,,29714197.0,2025-09-30
00035885,JOHN ASTLEY & SONS LIMITED,0.0,,1.0,2025-09-30
00179506,KTH HOLTS LIMITED,0.0,,280132.0,2025-09-30
00380134,JAMES CHAMBERS (TIMBER MERCHANTS) LIMITED,0.0,,3740030.0,2025-09-30
00186498,WELLINGBOROUGH GOLF CLUB COMPANY LIMITED,32.0,,3357451.0,2025-09-30
00216549,HOME WORDS PRINTING AND PUBLISHING COMPANY LIMITED,3.0,,8491825.0,2025-09-30
00217282,THE KINGSTHORPE BOWLING CLUB LIMITED,0.0,,1056600.0,2025-09-30
00204138,HINDLEYS LIMITED,0.0,,14842.0,2025-08-31
00377635,HANKLEY COMMON GOLF CLUB LIMITED,34.0,,2964809.0,2025-08-31
00190744,SCOTT PRECISION WIRE LIMITED,0.0,,1543324.0,2025-08-31
00352679,H. & C. WHITEHEAD LIMITED,16.0,,708282.0,2025-07-31
00340342,JAMES RUANE & SONS (YORKS) HOLDINGS LTD.,0.0,,30083.0,2025-07-31
00038077,HUGHES HALL CONFERENCE COMPANY LIMITED,0.0,,47035.0,2025-07-31
00282985,DON HOCKEN LIMITED,0.0,,206626.0,2025-07-31
00359798,OPPERMAN INVESTMENTS LIMITED,0.0,,1768472.0,2025-06-30
00114650,JOB EARNSHAW & BROS.LIMITED,0.0,,7908442.0,2025-06-30
00397532,Cressy's Grains (Holdings) Ltd,0.0,,1378292.0,2025-06-30
00335207,TEACHERS MEDIA PLC,0.0,,,2025-06-30
00083089,"JOHNSON BROTHERS AND COMPANY, LIMITED",0.0,,25268632.0,2025-06-30
00171705,Collinson's Cut Soles Limited,0.0,,,2025-06-30
00121323,NORTHALLERTON AUCTIONS LIMITED,0.0,,2511324.0,2025-06-30
00111019,"ROCHDALE ASSOCIATION FOOTBALL CLUB,LIMITED(THE)",110.0,,1679834.0,2025-06-30
00012377,The Metropolitan Land and House Company Limited,3.0,,6138140.0,2025-06-30
00262555,ANDREW TYLEE LIMITED,0.0,,-242194.0,2025-06-30
00098606,EDWARD WILLIAMS HOLDINGS LIMITED,2.0,,7643471.0,2025-06-30
00196809,SCHOTT MUSIC LIMITED,19.0,,3568217.0,2025-06-30
00189754,YEOVIL FOOTBALL & ATHLETIC CLUB LIMITED (THE),1.0,,198326.0,2025-06-30
00253468,LONDON CIGARETTE CARD COMPANY LIMITED,0.0,,25649.0,2025-06-30
00378087,McNaught Key & Co. Limited,0.0,,,2025-06-30
00302454,Richmond Towers Limited,20.0,,,2025-06-30
00076760,THE BENTHAM AND DISTRICT FARMERS' AUCTION MART CO LTD,0.0,,2248399.0,2025-06-30
00363901,PARK ENGINEERING COMPANY(WOLVERHAMPTON)LIMITED(THE),4.0,,117382.0,2025-06-30
00191878,WHITBY & CHANDLER LIMITED,0.0,,1294822.0,2025-06-30
00292160,H DOLTON & SON LIMITED,6.0,,5464532.0,2025-06-30
00227202,VICTORIA TRADING LIMITED,0.0,,1689.0,2025-06-30
00400207,LELLO BROS. LIMITED,0.0,,81254.0,2025-06-30
00051828,BRISTOL ROVERS FOOTBALL CLUB LIMITED,2.0,,4260949.0,2025-06-30
00379606,ROBSON HANDLING TECHNOLOGY LIMITED,0.0,,2084529.0,2025-06-29
00105500,WILLIAM CORNS & SON LIMITED,0.0,,,2025-05-31
00217128,J.CUMMING & SONS LIMITED,0.0,,247814.0,2025-05-31
00208641,"SPECIAL STEEL CO., LIMITED",2.0,,78655311.0,2025-05-31
00186162,BURY ST EDMUNDS GOLF CLUB LIMITED,0.0,,1094943.0,2025-05-31
00367479,F.G. Curtis Limited,1.0,,2408749.0,2025-05-31
00355744,SPECIAL TESTING LIMITED,0.0,,456824.0,2025-05-31
00232010,WORCESTER CITY FOOTBALL CLUB LIMITED,0.0,,,2025-05-31
00276941,JOHN CHAPMAN & CO. (BUILDERS MERCHANTS) LIMITED,0.0,,3194900.0,2025-05-31
00292699,WELLS AND ROOT LIMITED,0.0,,2001053.0,2025-05-31
00314166,CHARLES LUMB & SONS LTD,0.0,,576061.0,2025-04-30
00400447,COMMON FARM LIMITED,0.0,,4605372.0,2025-04-30
00312678,ESSEX FLOUR & GRAIN COMPANY LIMITED,2.0,,111233.0,2025-04-30
00358221,C J THORNE & CO LIMITED,0.0,,987846.0,2025-04-30
00349041,TREFOREST MILL PLC,0.0,,6101246.0,2025-04-30
00039998,MANCHESTER LAND SECURITIES LIMITED,0.0,,53875.0,2025-04-30
00050647,J & F J Baker & Company Limited,16.0,,66042.0,2025-04-30
00172196,Lister Horsfall Limited,26.0,14725792.0,979787.0,2025-04-30
00166445,Oughtred and Harrison Limited,3.0,,640128.0,2025-04-30
00391572,WARINGS MASTER BAKERS LIMITED,0.0,,400747.0,2025-04-30
00171065,HAZEL GROVE GOLF CLUB LTD,0.0,,394350.0,2025-04-30
00323928,CASTLE LANE SECURITIES LIMITED,3.0,10062668.0,227377612.0,2025-04-30
00348739,THORCOURT ESTATES LIMITED,0.0,,1863289.0,2025-04-14
00348692,ABERVILL ESTATES LIMITED,0.0,,2482660.0,2025-04-14
00209009,SOCIETY FOR IRISH CHURCH MISSIONS,0.0,,,2025-04-05
00393727,NEW PROVINCIAL ENTERPRISES LIMITED,0.0,,1002513.0,2025-04-05
00379824,BURBAGE FARMS LIMITED,8.0,,2953224.0,2025-04-05
00266608,SHIP AND SHERRY LIMITED,0.0,,1160238.0,2025-04-05
00223680,MABANES PROPERTIES LIMITED,0.0,,3854441.0,2025-04-05
00305034,GRANTHAM & IVES LIMITED,5.0,,1177245.0,2025-04-05
00391575,REALTY & GENERAL TRUST COMPANY LIMITED,0.0,,,2025-04-05
00230146,HAPTON ESTATES LIMITED,0.0,,8509.0,2025-04-05
00337210,WATERFIELDS (LEIGH) LIMITED,3.0,,1379455.0,2025-04-05
00248092,CHORLTON TRUST LIMITED,1.0,,3171262.0,2025-04-05
00362378,R M ADDY & SONS LIMITED,0.0,,945514.0,2025-04-05
00325308,BALGLEY MANUFACTURING COMPANY LIMITED,0.0,,14886.0,2025-04-05
00331532,Claverhouse Limited,7.0,,2401283.0,2025-04-05
00364015,M AND C FARMS LIMITED,0.0,,628788.0,2025-04-05
00365743,New Era Academy Of Drama & Music (London) Limited (The),3.0,,78904.0,2025-04-05
00373005,WM. GRANT (PAULL) LIMITED,0.0,,8254994.0,2025-04-05
00363702,Anderson Trustees Limited,0.0,,100.0,2025-04-05
00295791,Rowand Estates Limited,1.0,,94818.0,2025-04-05
00115504,Grimsby Fish Merchant's Association Limited,4.0,,730.0,2025-04-05
00217856,C.Bower & Sons Limited,2.0,,356688.0,2025-04-01
00390738,VICTOR MANUFACTURING LIMITED,1.0,,4985611.0,2025-03-31
00389711,NORFOLK HOTEL (RICHMOND HILL) LIMITED,0.0,,,2025-03-31
00345929,GEORGE H.KIME & CO. LIMITED,1.0,,4709449.0,2025-03-31
00390211,EVERJOY PROPERTY LIMITED,2.0,,4256884.0,2025-03-31
