company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
13961990,Hunt4Enterprises Ltd,454,,203559.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"23-25 Foxes Bridge Road, Forest Vale Industrial Estate, Cinderford, GL14 2PQ",78200
01365921,Braymale Limited,454,9864318.0,3705633.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 5a Longton Business Park Station Road, Little Hoole, Preston, PR4 5LE",77120;78109
03253377,COUNTRY COURT CARE HOMES LIMITED,454,18891316.0,48148523.0,,EMPLOYEE_TEST,,,active,england-wales,"C/O Duncan & Toplis Limited Enterprise Way, Pinchbeck, Spalding, PE11 3YR",87100;87300;88990
09188192,So Far Ltd,452,,38211.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Halpern House, 1 Hampshire Terrace, Portsmouth, PO1 2QF",56210;78200
09442336,Community Lives Consortium,448,,1369495.0,,EMPLOYEE_TEST,,,active,wales,"24 Walter Road, Swansea, SA1 5NN",87200
06323326,CAREPOINT SERVICES LIMITED,440,,540297.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"168 Church Road, Hove, BN3 2DL",88100
14199715,HARBOUR HEALTHCARE HOLDINGS LTD,439,,1500009.0,,EMPLOYEE_TEST,,,active,england-wales,"The Lodge House, Dodge Hill, Stockport, SK4 1RD",96090
13797930,Emscott Holdings Limited,438,,7445141.0,,EMPLOYEE_TEST,,,active,england-wales,"238 Station Road, Addlestone, KT15 2PS",87300
11158928,Acorns (Holdings) Limited,432,14668180.0,8662861.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"7 Park Grove, Cathays, Cardiff, CF10 3BJ",82990
03023352,Acorns Nurseries Limited,432,14668180.0,6540556.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"7 Park Grove, Cathays, Cardiff, CF10 3BJ",88910
13722151,Premium Care Group Limited,432,21269259.0,17207262.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"3rd Floor, Marlborough House, 298 Regents Park Road, London, N3 2SZ",87300
12979708,Brimhams Active Limited,430,,-627401.0,,EMPLOYEE_TEST,,,active,england-wales,"Civic Centre, St. Lukes Avenue, Harrogate, HG1 2AE",94990
04156069,MGF LIMITED,429,,70436833.0,,EMPLOYEE_TEST,,,active,england-wales,"Grant House South Lancashire, Ind Est Lockett Road, Ashton In Makerfield Wigan, WN4 8DE",70100
06868508,Cleanscapes Limited,420,16416766.0,638360.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"Cleanscapes Ltd Coles Lane, Ockley, Dorking, RH5 5HW",81210;81222;81229;81299
12411111,Sierra 1 Security Stewarding Ltd,416,,281770.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"The Old Fire Station, Darnall Road, Sheffield, S9 5AF",80100
11797247,ZAM FM LTD,410,,811818.0,,EMPLOYEE_TEST,,,active,england-wales,"1b First Floor, Bank House The Paddock, Handforth, Wilmslow, SK9 3HQ",81100
01555887,Solomon Commercials Limited,408,76841676.0,2661599.0,30 April 2,EMPLOYEE_TEST,,,active,england-wales,"Knowsley Road Industrial Estate, Haslingden, Rossendale, BB4 4RX",29201
09426027,Accept Recruitment Ltd,408,11681989.0,126344.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"Units 3 And 4 Forest Business Park, Oswin Road, Leicester, LE3 1HR",78200
